ID,CEFR,模块,主题,介词/结构,支配格,是否双向介词,核心意义,引申意义,思维模型,常见搭配,A1-A2例句,B1-B2例句,C1例句,中文解释,常见错误,易混介词/结构,记忆提示,标签
1,A1-B2,空间介词,对象思维,zu,Dativ,否,朝人、机构或目标对象移动,前往某项活动或状态,把目的地看成对象，而不是内部空间,zum Arzt; zur Schule; zu Freunden; zu einer Besprechung,Ich gehe zum Arzt.,Ich fahre morgen zu einer Besprechung.,Im Anschluss begab sie sich zu einem vertraulichen Gespräch.,去某人、某机构或某个目标那里,把所有目的地都机械地用 zu,in; nach; auf,对象中心：朝对象去,"空间,对象,方向,Dativ"
2,A1-B2,空间介词,对象思维,bei,Dativ,否,在某人、机构或对象那里,在某公司任职；在某种条件下,以某对象为中心，位置或隶属关系,beim Arzt; bei Freunden; bei Siemens; bei schlechtem Wetter,Ich bin beim Arzt.,Sie arbeitet bei einer internationalen Firma.,Bei näherer Betrachtung erweist sich die Annahme als problematisch.,在某人或机构那里；在……情况下,误解为单纯的‘附近’,zu; neben; in,对象中心：已经在对象那里,"对象,位置,条件,Dativ"
3,A1-B2,空间介词,空间内部,in + Akkusativ,Akkusativ,是,进入有边界的空间,进入某种状态、行业或阶段,跨越边界进入内部,ins Kino; in die Stadt; in den Beruf; in Panik geraten,Ich gehe ins Kino.,Viele Menschen wechseln in einen neuen Beruf.,Die Debatte trat in eine entscheidende Phase ein.,进入空间、状态或阶段,看到 Bewegung 就一律用 Akkusativ,zu; nach; auf,边界被跨越：外面→里面,"空间,方向,Akkusativ,Wechsel"
4,A1-B2,空间介词,空间内部,in + Dativ,Dativ,是,位于有边界的空间内部,处于状态、领域或时期中,已经在边界内部,im Kino; in Berlin; in der Krise; im Bereich,Ich bin im Kino.,Das Unternehmen befindet sich in einer schwierigen Lage.,Im Rahmen der Untersuchung wurden mehrere Faktoren berücksichtigt.,在空间、状态或领域之中,把 Wo? 简化成所有静态地点都用 in,bei; an; auf,边界内部：人在里面,"空间,位置,Dativ,Wechsel"
5,A1,空间介词,城市与无冠词国家,nach,无格变化,否,前往城市、方向或无冠词国家,按照、在……之后,将地点视为地理目的地,nach Berlin; nach Deutschland; nach links; nach dem Essen,Wir fahren nach Berlin.,Nach dem Kurs gehe ich nach Hause.,Nach eingehender Prüfung wurde der Antrag abgelehnt.,去城市、无冠词国家；在……之后,说 nach die Schweiz,in; zu; seit,城市/国家目的地常用 nach,"地点,方向,时间"
6,A1-B1,空间介词,来源,aus,Dativ,否,从内部出来；来自某地或材料,出于原因；由……组成的来源,由内向外，强调内部来源,aus dem Haus; aus China; aus Holz; aus Angst,Ich komme aus China.,Der Tisch besteht aus Holz.,Aus wirtschaftlicher Sicht erscheint die Maßnahme sinnvoll.,从内部、国家或材料中来；出于,把 aus 和 von 随意互换,von; seit,里面出来用 aus,"来源,材料,原因,Dativ"
7,A1-B2,空间介词,来源,von,Dativ,否,从某点、某人或表面离开,所属、作者、原因、被动态施事,从一个外部点或对象出发,vom Bahnhof; von Freunden; von Goethe; abhängig von,Ich komme vom Bahnhof.,Das hängt von der Situation ab.,Die Entscheidung wurde von mehreren Faktoren beeinflusst.,从某点、某人那里；由……,把所有‘从’都翻译成 aus,aus; seit,点/对象来源用 von,"来源,关系,Dativ"
8,A1-B2,空间介词,家庭与固定方向,nach Hause,固定结构,否,回家、去家里,无,Hause 是固定旧式形式,nach Hause; zu Hause,Ich gehe nach Hause.,Nach der Arbeit fahre ich direkt nach Hause.,Nach Abschluss der Sitzung kehrten alle Beteiligten nach Hause zurück.,回家,说 nach dem Hause 表示普通‘回家’,zu Hause; ins Haus,方向 nach Hause，位置 zu Hause,"固定搭配,地点"
9,A2-B2,Wechselpräpositionen,空间关系,an,Akkusativ/Dativ,是,接触、边缘、垂直面,靠近边界或与边界接触,Wohin? 真正改变位置→Akk；Wo? 位置关系→Dat,an die Wand; an der Wand; am Meer; am Fenster,Ich hänge das Bild an die Wand.,Das Bild hängt an der Wand.,An der Schnittstelle zwischen Politik und Wirtschaft entstehen Konflikte.,到/在边缘、垂直面或接触点,把 an 简单等同于‘旁边’,auf; neben; in,边界/接触面,"空间,接触,Wechsel"
10,A2-B2,Wechselpräpositionen,空间关系,auf,Akkusativ/Dativ,是,水平表面、开放空间,到/在表面、活动场所、平台,Wohin? 真正改变位置→Akk；Wo? 位置关系→Dat,auf den Tisch; auf dem Tisch; auf den Markt; auf Deutsch,Ich lege das Buch auf den Tisch.,Das Buch liegt auf dem Tisch.,Auf gesellschaftlicher Ebene stellt sich die Frage neu.,到/在表面、平台或层级,把所有‘上’都用 auf,über; an; in,承载表面或层级,"空间,表面,层级,Wechsel"
